ï»¿userName,content,at,score
Abdi Kholik,Jaringan kok smakin lama smakin hilang ya... Tolong di perbaiki dong,19/01/2024 14:25,2
Aribowo,istimewa,14/01/2024 04:58,5
ARIK SYARIFAH,Kartu bosok,25/01/2024 15:24,1
Fadilla Ramadhan,"Saya tidak bisa login di aplikasi myIM3,saya coba terus tetap saja tidak bisa",31/01/2024 13:49,1
Mauza Jibran,terimakasih,28/01/2024 01:16,5
Romadhon Ahmad Rifa'i,paling top,31/01/2024 05:05,5
Van Basten,sangat mudah untuk digunakan,30/01/2024 19:48,4
Liyan Liyan,saya sangat puas dengan promo nya,21/01/2024 02:19,5
Gelas KosongTM,Kenapa aplikasinya tidak bisa dibuka hari ini (23 Januari) padahal sudah diupdate. Masukan untuk myim3 agar jangan pelit kasih bonus kuota internet setiap pelanggan isi pulsa/beli paket data internet (semakin besar nominal pulsa/paket data yang dibeli maka semakin besar bonusnya). Jangan kalah dengan pesaing operator sebelah.,23/01/2024 02:25,4
Sufnita Nita,aplikasi imy3 sangat bagus,23/01/2024 20:33,5
ONAL123 ONAL,????,28/01/2024 13:59,5
Dhimas Prayoga,"Sinyal buruk banget gan, saya menyesal beli im3 , beli kuota cuma buat ngeleg aja",26/01/2024 13:57,1
Kipli Cooyy#22,"Parahhh Indosat jaringan internet buruk makin lama makin ancur ajah, Hampir setiap hari jaringan tidak stabil, Percuma beli kuota mahal tapi kualitan jaringan ancur, Hampir tiap hari sinyal parah, dapet kompensasi juga kaga, Kuota makin mahal sinyal makin ancur, Di suruh on/of hp tetap ajh sama saja, Makan gaji buta lu Indosat, JANGN MAU UNTUNGNYA DOANGLAH ????????",27/01/2024 04:32,1
Ariie27 Official,bagus,22/01/2024 03:15,5
Aris Munandar,Kenapa setelah Update tampilan nya jadi lebih jelek dan tidak bagus dan bahkan lebih buruknya lagi paket yang tadinya ada malah hilang setelah update dan mau beli udah ga ada lagi,26/01/2024 20:04,1
Muhammad Aiz,Dikit saran Kalo gangguan cepetan lah perbaiki kami itu butuh sinyal,11/01/2024 14:12,1
Deskino Aldiki Pramono,"Sekarang mahal bgt harga kuotanya. Ditambah, knp ini level ku turun? Dri platinum ke gold? Pdhl udh bertahunÂ² pakai sampai di level platinum mlh turun. Pdhl sebelumnya normalÂ² aja. Apa karena poinnya hangus trs levelnya jg turun?",19/01/2024 13:18,1
Darwan Pplb,bguss,13/01/2024 09:05,5
Riyan Hidayat,nice,12/01/2024 12:02,5
Ana YULIANA,"aplikasinya makin eror, nggak bisa masuk sama sekali lebih mending sebelum di update tapi yang sekarang jelek banget nggak bisa masuk, juga makin mahal walaupun katanya udah promo tapi tetep mahal, jaringannya juga makin buruk, padahal dulu bagus banget",26/01/2024 12:56,1
Jancuk ers,"Udah 2 bulan ini aplikasi tidak bisa dibuka, reload terus, padahal jaringannya bagus. Jadi susah buat beli ataupun cek kuota.",22/01/2024 02:28,1
Nabilah Hasna Ramadhani,"Turunin harga woi, duit pasÂ²an abis buat beli kuota doang ???????",30/01/2024 12:11,2
aji purnawan,"ELLOOORRR TERUUUSS, MAU SAMPAI KAPAN GINI TERUUS???. HAMPIR SETIAP HARI ELOR MULU WOOYY, GUE UDAH CAPE GUE UDAH MUAK. KARTU SIM UDAH 4G KOUTA UDAH FULL, EH MALAH GA ADA AKSES INTERNET, MAU SAMPAI KAPAN GINI TERUUUSSSS",26/01/2024 13:39,1
Sabrina Zahra Liani,sinyal ilang mulu,28/01/2024 12:08,1
Muhamad Baehaqy,sangat bijak,21/01/2024 08:03,5
Makan Cuyy,Emang anjing indosat monyet jaringan tiba tiba ngilang siang gangguan nya gk ngotak jangan pake kartu Indosat gk ada otak,12/01/2024 12:52,1
Mutiaara sativa,Maaf min saya kasih bintang 3 soalnya apk habis di update malah poinnya nggak pernah masuk pdhl sering ngisi pulsa Trs kemana hilangnya poin itu min Mohon di perbaiki min kalo gini jadi kecewa,23/01/2024 15:26,3
Adyastha Widi adinata,bguss,24/01/2024 06:54,5
Fahmi Alamsyah,bagus,27/01/2024 06:36,5
Lalu Aprian Pratama,"Bintang nya gue turunin, nggak ada peningkatan.",26/01/2024 14:17,4
Septie Dwitika,"bagus, sangat membantu",18/01/2024 23:48,5
Yuwan,jaringan luas,23/01/2024 17:16,5
Danu 354,bagus,11/01/2024 14:39,5
Yunita Indah,Sumpah kecewa bgt sama indosat ini. Masa mau beli boister 5gb harga 10k dari kemaren error mulu aneh bgt,28/01/2024 11:23,1
Rudi Saputra,Aplikasi myIm3 benar benar mantep bagus berfungsi banyak hal dan di dalam aplikasi pakettan bulanan sama harian murah murah banget,22/01/2024 03:26,5
Sahat Sihite,Ok,28/01/2024 11:31,5
CAPTAIN HEROIS GAMER,Ini masalah paling serius dan harus segera di tangani yaitu saat terjadi hujan teras ataupun mendung Kouta nya jadi melampat padahal jaringan nya masih bagus tolong masalah ini segera di perbaiki,10/01/2024 13:00,1
KRicik Gank,Semenjak ada tower penyambung jaringan lancar,16/01/2024 00:48,4
ryan ramadhan,"makin sini signalnya makin jelek parah , mau dimana mana jelek apalagi pake main game , jelekkkk ga kek dulu selalu mantep , sekarang jelek merosott makin males aja pake indosat bagusan signa sebelah",11/01/2024 12:36,1
Mass Zan,Mau sampe kapan dapet rating jelek terus? Saya pengguna provider ini udah lama. Bisa ganti rugi apa atas kejadian gangguan jaringan?,26/01/2024 20:12,1
MHDSTBY,Notif berisik!,24/01/2024 09:44,1
Maiyah Jancukers,gattel paketan ket tuku langsung gk aktif,26/01/2024 13:50,1
Sus Yanto,"Mke m3 udh lama buknya tmbah murah mkin tmbh mhal koutanya d tmbh sinyal kdang ilang kdang ada,, parah,",13/01/2024 14:05,2
Kapten Oleng,terbaik,10/01/2024 08:27,5
Ferdy Tumorow,mantap aplikasi nya berjalan dengan lancar,22/01/2024 10:17,5
uncas sulung,sangat bagus,14/01/2024 10:48,5
OjanGamingTV,Woi IM3 babi kembalikan pulsa saya yang anda sedot baru beli pulsa sudah disedot babi emang kau im3,12/01/2024 09:20,1
cawa andinia,pulsa tersedot sndiri,13/01/2024 03:39,1
Iyah Bagas,sangat membantu,25/01/2024 08:20,5
Abduloh (AGThunders),"Saya sampaikan keluahan saya lewat live whastapp malah bertanya ""apakah masih terhubung?"" dan bertanya seperti itu terus padahal saya sudah sampaikan semua keluhan saya tetapi masih bertanya ""apakah masih terhubung?"", keluhan saya tidak ditanggapi dan capek2 ngebalas cs nya tapi tetap saja nanya seperti itu terus. Gila kali CS kayak robot walaupun live chat via whatsapp.",28/01/2024 14:10,2
Fir,Habis update tambah gak jelas ni apk,13/01/2024 02:07,1
Egga Pratama,"Mentang"" paketan dimurahin sinyal macam angin",24/01/2024 19:48,2
dedy jr77,"Sinyal busuk, operator sampah",28/01/2024 12:39,1
Dheiv angola,sinyalnya tolng dong di kencengin lagi,26/01/2024 12:55,2
Eghilgel,kurang gratisan game kek yang lalu,24/01/2024 02:41,5
Anggie Tamuji,"Tukang colong pulsa bangsatt!! Pdhl paketan data udah gue matiin , tetep aje gue isi pulsa kena ptongan bajingannnn....",10/01/2024 02:22,1
pop pep,Aplikasi gagal. Aplikasi SAMPAH,16/01/2024 11:18,1
Ocit Oput,"Indosat makin kesini makin aneh, saran saya jangan pake indosat, selain harga kuita yg mahal, jaringannya juga sangat buruk",16/01/2024 11:51,1
Kael Ganteng,Bisa ya jaringan di pekanbaru hilang ber jam jam kocak kocak,26/01/2024 14:10,1
Wahyu Gunawan,"mudah""an harga nya gak akan berubah.. cocok untuk kantong masyarakat kecil.. dan signal makin bgus di semua daerah..",11/01/2024 19:48,5
Vicky Effendi,"Saya kurangin bintangnya, lama lama kok sinyalnya menjengkelkan ya, internetnya lemot",27/01/2024 05:53,1
Takim patokan Mustakim,Indonesia,22/01/2024 01:46,4
Diana Cell,sangat puas,28/01/2024 11:07,5
Ryan Pratama,sangat keren wajib download,21/01/2024 09:04,5
Failasup Yusup,Ini eror apa gimana y,26/01/2024 13:29,5
Elisa Juniar,"Jaringannya lemot, sinyal tiba2 hilang, pulsa tiba2 habis padahal gak pernah di pake2 apa2.",28/01/2024 10:55,1
Gempa Ramadhan,sangat membantu terima kasih,24/01/2024 02:31,5
mzp 21,"beli paket data diprosesnya lama, sudah hampir 15 menit tapi belum juga selesai.",29/01/2024 13:11,1
Herawan Widodo,bagus sekali,23/01/2024 09:56,5
Refi Ahmad,keren,30/01/2024 11:08,5
nur wahid,Tambah buruk aja m3 gk sinyal gk aplikasi sama aja parahhhh.. Bukannya tambah bagus malah menurun,26/01/2024 14:10,1
xxx _ ln,jaringan semakin lemot... aplikasi apalagi csnya tidak guna... bahkan untuk memposting penilaian ini aja lemot banget... semakin mahal kalau kualitas jaringan bagus it's okay aja.. Tapi iniiii???? CS di aplikasi gunanya apa??,21/01/2024 13:35,1
FAJAR HENGKI,Sangat-sangat tidak memuaskan Udah mahal setiap isi pulsa di ambil Mulu taii,23/01/2024 10:42,1
Septian Adi,gari ini indosat lagi erorr kah koq gak bisa buka apk sma sekali ya tolong dong konfirmasinya,26/01/2024 13:08,1
Ricky Latupairissa,bagus,20/01/2024 07:48,2
Nurazizah anastasya,kenapa ya kok tiba' kuota saya sudah diisi 100gb tapi tiba-tiba saya cek tadi malam sudah gada hilang begitu saja mohon dong IndosatCare pertolongan nya soalnya bukan sikit gb nya satu malaman nangisin hilang kuota,24/01/2024 22:08,1
Budi Satria Reza,Bagus.,15/01/2024 11:24,5
Purnama Cell,bagus kk,20/01/2024 17:06,1
Ikysuee 17,"Ga bisa d buka min, sdh pakai beberapa cara juga",16/01/2024 13:18,1
Yonya Geming,"Heh,bikin kartu yg bener su,masa jaringanny suka down ,kmi para gamers merasa terganggu dan frustasi, jangan setengah2 lah.malu lah sama provider lain.sdh harga mulai mahal,jaringan gitu mulu ,selalu kadang hilang,please di perbaiki lgi jaringanny gua udah 3 tahun bersama IM3 kok GK ada perubahan ,sering hilang jaringanny",15/01/2024 11:46,2
Radit 024,Tidak ada kouta geratis??,15/01/2024 11:55,2
IM. Rifaldi,kerenn,19/01/2024 16:58,5
Hoedha Pastie,Terima kasih,22/01/2024 16:41,5
Mughni Zrn,Sinyal kadang sering hilang dan saya rasa mungkin tidak cocok digunakan saat bermain game.,10/01/2024 13:32,1
Fitri Glg,sangatbagus,16/01/2024 17:15,5
Fahreza Romadhon,kerja bagus,24/01/2024 06:03,5
Jack Sibau,sangat memuaskan pakai myim3,30/01/2024 14:22,5
Yuli Angraini,Cuma pengen adain fitur pulsa safe kesel pulsa suka abis sendiri,26/01/2024 16:18,3
Ridwan Laksmana,"Jaringan gangguan terus , kartu lama gk bisa buat kerja , sebab era sekarang kerjaan full hp ( jaringan) , tolong di perbaiki jaringan yg mudah hilang ( sebab sekarang sudah masuk era digital ) jd mulai pilih2 ganti kartu buat kerja in jdny",26/01/2024 13:58,1
Ali Hakim,Im3 jam ini sedang eror area jakarta tangsel Mohon servisnya,26/01/2024 13:24,1
Barbar DB,Kuota ku hilang setelah kalian update versi!!!,26/01/2024 14:04,1
santri edan,AkhirÂ² ini knapa jaringan IM3 kok jelek banget sih???,17/01/2024 16:44,1
JebolGamingYT,Aku beli pulsa. Beli paket data. Di proses terus lama.. Sudah 1 jam. Biasaya cepet. Kok ini lama.. Segeraaa,31/01/2024 23:42,1
Dayat BulGari 1,Paket data sekarang gak jelas pas kota habis paket mahal semua mana 32gb ilang budget 70 gak ada lagi,27/01/2024 06:09,3
Fathur Rahman,Gak ada pulsa safe di settingan,19/01/2024 15:44,2
San jho,bagus dan terperjaya,24/01/2024 11:08,5
Fauzan Saeful Pattah,"Pas masuk suka error, kadang disruh masukin lagi nomornya, kalo di refres kadang error juga, Riwayat paketnya ngga kaya dlu harganya sama atau naiknya ngga beda jauh, trus pernah singnal di daerah saya ilang sampe signalnya ""E"" selama 2 hari lagi, mana saya harus Gmeet buat nugas sama ngumpulin tugas, sering banget kaya gitu, moga aja di tahun ini makin bagus lagi",10/01/2024 14:17,4
Bang Puput,Ingat..!! Jangan pernah beli pulsa krn pulsamu akan dihisap sampai kandas.. Tdk ada pengamanan walau isi pulsamu Rp.1 juta. Hanya org bodoh yang mengisi pulsa isi ulang disini. Aku sdh kena..,27/01/2024 08:06,2
Panz Tkr,"Kon* kenapa registrasi kartu harus isi pulsa max 10rb, emang ga hangus apa blum di registrasi harus isi pulsa, ribet kocak mending pake telkomsel",12/01/2024 11:27,1
Edyy Saputra,Setelah di update jadi jelek sekali??,13/01/2024 15:34,1
Imam Aja,Sering hilang sinyalx bulan 1 ini..hmpir tiap malam jringanx hilang....parahhh,10/01/2024 10:07,1
PONDOK POLANDIOA PESANTREALM,"Aplikasi jelek bngt, rugi gw anj, dah tau paketan abis+pulsa baru isi, login ni aplikasi mana GK bisa+ngurang pulsa lagi, abis ini gw mau ganti kartu sih, GK peduli anj",11/01/2024 11:04,1
Tato Pemanahrasa,naisila,18/01/2024 05:08,5
Rehan Han,mantap,31/01/2024 15:02,5
tii suparti,Lemot lelet sinyal susah,17/01/2024 00:34,1
bukan Wandi,bagus sekali,26/01/2024 05:24,5
Met Slamet,Sinyal semakin jelek,30/01/2024 15:08,1
AYQQ,Makin mahal harga paketnya. Kalau makin mahal mending pakai yg lain deh. Hot promo aja jd mahal. Padahal udah setia sm indosat. Tp makim kesini makin gmm gitu.,26/01/2024 15:46,1
Diki Ii,Pepek asu lag terus nggak bisa di buka apk pepek,10/01/2024 13:47,1
Dani A_aning,udh jalan 7 tahun pake indosat. Dan jaringan nya makin busuk aja Ini juga nihhh. Kemaren ada yg ngirim pulsa. Ehh disedot pula. Pake Pulsa Safe dong kaya Axis! Ini mah Baru internetan 1menit aja 1rb melayang. Padahal Kuota masih ada!,28/01/2024 16:08,1
TKR Ar-Roudhoh,sinyalnya memuaskan,15/01/2024 03:17,5
Travel World chanel,"Tolonglah di stabilkan lagi sinyalnya, aapalagi lagi main lohhh, malah esmoci aku, sinyal ngadak ngadak ilang",13/01/2024 02:27,2
Har Yono,ok bget,15/01/2024 14:49,5
Saskia Herman,jaringan nya kurang bagus kalau hujan,28/01/2024 00:19,3
adon jscom,"Sekarang mah mending ga ngisi pulsa sisa deh di indosat, kepotong terus walaupun masih ada paket data , hadeh...",20/01/2024 15:45,1
Dewi Sarmista,Sangat cocok digunakan,20/01/2024 03:57,5
Benny Irwansyah,"Jaringan gak jelas, dah lemot, suka jaringannya ilang, padahal saya beli kuota, tapi jaringannya kayak kelas bawah, saya mahal mahal loh beli kuota, kenapa jaringannya sering lemot, malah sekali lemot lama lagi, aku harap kedepannya jaringannya lebih baik, satu lagi katanya nomor kartu saya tidak terdaftar, padahal saya beli yang sudah terdaftar di pemerintah, agak lain ini kartu",26/01/2024 13:42,1
Ifan Fuji,sangat membatu,26/01/2024 11:35,5
Andhika Rizal Pamungkas,"Entah kek mana lah, untung pas gak lagi buat kerja sinyal tibaÂ² gak jelas",26/01/2024 14:06,1
Ikhsan Zulfikar,"Udah merger ama 3 bukannya makin bagus malah makin ancur nih sinyal, payah, padahal rumah di daerah perkotaan",26/01/2024 13:28,1
Ayu Lestari,Oke bgt,29/01/2024 09:01,5
marhamspdi spdimpd,thank you to accompany me,17/01/2024 03:38,5
MvL Channel,Jaringannya lemottt sungguh sangat buruk dan membagongkan,18/01/2024 12:39,1
Bagus Goole,baik,13/01/2024 09:04,5
haadi 23,bagus,25/01/2024 16:10,5
Syifa Asyifa,terimakasih my Indosat,24/01/2024 23:38,5
Sutanti Tanti,bagus,20/01/2024 13:14,5
indra jhons,kta nya dowload apk mym3 dpt bonus 1gb knp saya gk dpt saya baru dwld,24/01/2024 02:37,1
Abel Adi prasetyo,Indosat sinyal sangat lemot sekali kaya kembali pakai jaringan g,10/01/2024 12:04,1
C6 H14,"5x pulsaku abis, minta isi pulsa darurat. Tp gaada yg masuk, tetep tiap isi ulang pulsa dipotong. Penipuan ini mah. Saranku jangan dipake, mending pake telk0msel aja",24/01/2024 23:34,1
Wawan Mobile,razin razin kasih bonua,30/01/2024 06:27,5
Nazma Hafiz,"jaringan Im3 itu sering bngt gangguan hampir tiap hari , jadi males bngt saya pke m3 , udah mahal , sinyal dan jaringan jelek. kualitas nya ancur . untuk klian yg belom , jngn smpe pake m3 kl gk mau nyesel.",11/01/2024 06:34,1
Ulfa,"3hari ini sinyal jelek bahkan hilang sama sekali tidak ada,indosat semakin kesini semakin bikin kecewa",22/01/2024 11:59,1
Irfan Maulana,Sering gangguan jaringan ilabg terus mohon dong pihak tersebut kondisikan buat cosutamer yang pakai jaringan jangan sampai seperti ini,26/01/2024 14:16,1
Kaharuddin,Jaringan asuh,17/01/2024 12:08,2
MR LOIS,Setiap malam ngeleg banget najissss,13/01/2024 12:47,1
Rustam Pratama,mantap,15/01/2024 13:37,4
Gell Okta,"Tolong apus Iklan yg nampilin pop up promosi, Ganggu Sekali ini.",14/01/2024 02:58,1
Jaelani Jaelani,Beli paket kaga di proses.pembelian kuota melalui pulsa sangat buruk.lambat banget,22/01/2024 08:14,2
Iqral Amisyah Sugara,Jelek,26/01/2024 13:21,1
SUGENG DWI PANGESTU,Update teruss sinyal ga pernah benerrr lemottttt,26/01/2024 13:08,1
Lutfi Galon,lumayan dan sangat membantu ??,11/01/2024 19:41,4
Hani Fah,bagus untuk pengingat dan tukar poin,25/01/2024 10:03,5
Ajie Eri Prabowo,jaringan babi ??,26/01/2024 12:16,1
Renna Mardiana,sinyalnya jelek mulu mana mahal,26/01/2024 14:29,1
Hamdani Prayoga,Bonusnya Kouta hilang seketika,24/01/2024 12:23,1
Samsung A52,Update apk makin kesini makin kacau aja bukannya tambah bagus ini mah tambah blangsak,18/01/2024 13:07,1
Yusuf Ramadan,Payah im3 hari ini ..habis Beli quota mahal2 . sinyal ada tapi gak ada koneksi dari tadi sore,26/01/2024 12:27,1
Bela Arma,mantap,21/01/2024 03:27,5
hartato hrt,ok,23/01/2024 07:44,5
Rama Rizkypratama,puas sekali,15/01/2024 03:42,5
Ratu Nissa,God job,23/01/2024 12:52,5
Edy Wahyono,ini sinyal indosat kenapa sih?,27/01/2024 03:44,1
Rendiii Ansyha,mantappp,27/01/2024 14:32,5
Hendra Hariri,"Rugi gw beli kuota buat nikmati jaringan lelet padahal sinyal full, mohon cepat di atasi",28/01/2024 01:29,1
Yosep,bagusssssssss,22/01/2024 10:36,5
Ifan Bela,memuaskan sekalu,13/01/2024 09:33,5
Afnia Indriyanti,"untuk sinyal lebih di tingkatkan lagi, tinggal tidak di pelosok malah di kota tapi tiba2 sinyal jadi E, aneh tapi nyata.!!",18/01/2024 18:02,2
Muhammad Rifqi,kadang lalod,28/01/2024 10:43,4
Dewi Komala,sangat cocok untuk cek kuota,20/01/2024 17:48,5
Andi Ramadani,cek kuota aja tidak bisa. tak masuk notif SMS nya udh 2 hari kyk gini. masih baru beli aja lancar udh lama lama GK ada sama sekali. emng babi nya im 3 ini,31/01/2024 08:04,1
Iksan Sidqi,Indosat semakin mudah,11/01/2024 12:04,5
khanif sum,jos gandos klo bisa harga paketan lebi murah,24/01/2024 21:58,5
Dayu Bintang,Apa iniiiiii udah beli paket data di apk ini malah gak masuk padahal saldo sudah kepotonggggg????????,19/01/2024 00:57,1
ABD AJID,bagus,19/01/2024 08:06,5
Kukuh Purbo Ruhoro,Gak bisa diakses..,18/01/2024 12:45,1
Siti Nurjannah,Mau isi paket aja susah bgt sih!!!,12/01/2024 09:45,1
Agus Ramadan,Kpada pihak indosat tolong di perbaiki lgi jaringan internet nya klw abis ujan dan lgi ujan pasti elor sinyal ga ada,17/01/2024 00:41,5
Danang Bocil,susah beli kuota nih,21/01/2024 01:40,5
Husin Gandra,untuk daerah morowali sinyal terbaik adalah lm3 sdh tdk ada yg lain,18/01/2024 05:40,1
Rojak Nahum,cukup puas,25/01/2024 16:49,5
Tony Wicaksono,Pulsanya berkurang terus padahal gak di pake,11/01/2024 08:50,1
AKHMAT THOYIB,lbh hemat,31/01/2024 03:48,5
rielz,Akhir akhir ini sering banget eror sinyalnyaa ????????????,20/01/2024 06:37,1
rany romadhon,jos,16/01/2024 10:23,4
Mustafid,"Masalah jaringan yang tak kunjung selesai, sinyal juga sering hilang",29/01/2024 11:12,2
Rafly Fahrizal,"Jaringn buruk, perusahaan kapitalis, pelayanan buruk, mending gulung tikar aja indosat ngento",26/01/2024 14:55,1
Aryaa still Learning.,"Terlalu banyak fitur yang tidak berguna, yabg membuat aplikasi sulit untuk dibuka, lag terasa berat",18/01/2024 12:38,1
Ragil Gilang,Woi sinyal gw ilang tolong lah im3 baru gw beli paket data nya malah ilang ish rugi rugi,26/01/2024 13:43,1
Dinda Nur aisyah,????????????,26/01/2024 18:27,5
4. Aldi faktur rochman,good joob bangetttt,17/01/2024 01:58,5
Lidia Sari,sngt bagus,25/01/2024 09:57,5
Dwi febry801 Febry801,Bagus,12/01/2024 08:46,5
chandra zommun,Im3 tambah mahal paketan datanya sinyal sering hilang,11/01/2024 08:07,3
Sandy Mulyana,"Sinyal gk bisa di pake gimana ini, buat cek kuota lewat aplikasi aja susah, Pindah provider aja kalau gini",23/01/2024 00:06,1
Riyan,"Ternyata nyedot pulsa kalau belum beli paket data. Ini sih sangat merugikan , mana tidak ada pemberitahuan lagi . Baru beberapa minggu pindah ke im3 jadi ga betah . Masih mending by.U jauh.",24/01/2024 10:07,1
Sa Rna,bagus,24/01/2024 07:14,5
Sutrisno Spt,coba dulu ya,22/01/2024 03:33,4
Gatot Prakoso Basuki,Indosat gmbel.,19/01/2024 15:24,1
eva maharani,"Paket internet makin mahal harganya,bisanya 125rb sdh 100gb,skrg malah jd 60gb,sinyal ilang2an..",21/01/2024 13:13,1
Yad Kancil,Masih bermasalah malah sinyal nya 0 ngga ada makin parah masa iya harus di bkar,15/01/2024 14:51,1
Stevanus Gunawan,Membantu sekali dalam mengecek kouta saya,12/01/2024 09:05,5
Ikfina Aisyatus,banyakin bonusnya min,19/01/2024 03:55,4
Dwi Prasetyo,mantap sinyal selalu on,22/01/2024 13:40,5
fahriza ilham,sinyal jlk trs jujur kecewa,26/01/2024 12:21,1
Deni Fauzi,good,26/01/2024 08:46,5
Natus Vincere,sangat bagus,17/01/2024 11:33,5
Muhyar acing,gas jangan kasih kendor,21/01/2024 00:56,4
yana mulyana,Sangat membantu,31/01/2024 09:45,5
Belajar Berjalan,Minta update malah lelet... Piye to kiiii...???,31/01/2024 02:30,5
Dhimas Cakra,"Tambakan fitur jaga pulsa seperti di Telkomsel. Karena sering menyedot pulsa saat kehabisan kuota, bahkan saat pemberitahuan habih kuota belum masuk.",28/01/2024 23:27,1
Muzakky Alcasinni,baik,31/01/2024 04:18,4
Misnah Isnawati,Mantap,25/01/2024 16:27,5
Dio Ferdynan,Benerin dulu njing y sinyal nya,21/01/2024 02:21,1
Daffa ramadhan,"Kartu jelek, main game ping di atas 200 terus",26/01/2024 13:38,1
Tatang Supriatna,bagus sekali,16/01/2024 14:48,5
Toko Laris,puas,27/01/2024 02:28,5
Ridha,"buruk. jaringan sering mati sendiri walau tidak ada angin, hujan atau mati lampu.",29/01/2024 01:26,1
RezA Septiawan,baik,15/01/2024 07:37,5
Firdaus angrah fajar Al miqdam,Jaringan full. Kuota 100 gb. Leg mulu knpa? Gangguan trossss.,28/01/2024 14:13,1
_,Hadeh gk ngerti lagi gw udah pake kouta darurat 5 gb tapi yang bisa di pake cuma 2 gb makin males aja gw mage m3??,23/01/2024 13:10,1
Mrlian Syah,top,12/01/2024 11:38,5
Deni Nugraha,"sinyal ilang mulu, kalo gini terus orang pasti pada pindah provider",10/01/2024 10:50,1
Iyur Iyur,bagus,28/01/2024 10:46,5
Asep Verza,sangat membantu,18/01/2024 22:17,5
Oppa Gntg,Jaringannya bagus diawal dong lama jg lemot msh bagusan Telkom,28/01/2024 02:17,1
Putra Riska,Aplikasi tidak bisa di buka eror terus,10/01/2024 06:12,1
Siti Nur afifah,Semuanya cuma Harga Semakin Mahal,23/01/2024 13:47,5
Saroh BT Udan,bagus mendukung,28/01/2024 04:20,2
Uni Devy,Suka,11/01/2024 13:42,4
Fachrurrozi Rozi,proses sangat cepat,13/01/2024 20:50,5
Elsa Boe,saya baru mengunakan mylM3 jaringannya bagus kalo bisa kout unlimited juga ada iya mksh myIM3,20/01/2024 00:42,5
Novi Agustina,mantap,12/01/2024 04:17,5
Akhtar Ibura,ok,29/01/2024 00:41,5
Muhammad Iqbal,"Kenapa setiap nanya Indira kalo mau dihubungkan oleh agen(manusia) itu responnya lama banget ,. Jangan cuma bisanya naekin harga aja dong,giliran customer mau complaint dipersulit",26/01/2024 12:22,1
Winda Lestari,mantaaap betull afknya semoga bermanfaat bagi semuamya terimakasihhh my mtreee,20/01/2024 12:57,4
R10GamingHD,Tidak bisa melaporkan jaringan internet lemot.....,26/01/2024 13:05,2
Rianissa Putri Anggari,"Kenaikan harga karena untuk perbaikan layanan katanya di bawah, tapi layanan sangat buruk sekali apalagi kemarin kemarin sinyal menghilang sampai saat ini, mending fix pindah sih.",28/01/2024 11:26,1
Rafsya _putra,Maksudnya apaan dah kuota masi 90gb tapi gabisa di pake,26/01/2024 13:30,1
Xiau Mi,Bagus sekali,17/01/2024 07:57,5
Hopsah Hopsah,eror tidak bisa masuk dan tidak bisa beli erorrr,21/01/2024 12:18,1
Randy Napitupulu,bagus sekali,18/01/2024 13:37,4
Par pari Par pari,Aplikasi tolo impoin melebihi hangus penukaran ngk bisa tolol,22/01/2024 11:56,1
Rizki Lubis,perbanyak promo gue miskin,23/01/2024 17:06,5
Fadhilah Ummahati,Lagi dan lagi ganngguan. Gk bisa dipake apa apa hp nya bahkan game offline jadi ikutan eror.,26/01/2024 13:13,1
Rudi Farra,josspoke,23/01/2024 14:59,4
Meidy Widyanto,jos,17/01/2024 23:04,5
Zuhad Latif,sesuai kebutuhan,25/01/2024 05:04,5
Shesilia ayu sitinjak,kurang puas,30/01/2024 13:15,1
Nadia Bulan Sundari,paket data cepat habis dan boros banget asli parah,12/01/2024 18:04,1
Gilang Ramadhan,murah harga kuotamya,23/01/2024 13:25,5
Visda Listya,"Makin kesini makin jelek sinyal nya sering ilang tibaÂ², kalo makin bagus sinyal kau ku tambah bintang",11/01/2024 04:28,1
Rafli Yusuf,"aplikasi gak jelas,livechat juga gak ada solusi",27/01/2024 12:55,1
Bambang Baehaqim01,"Mahal mah gpp kalaw sinyalnya bagus mahh, lah ini udh mahal udh sinyal lemot bikin pelangan kecewa Dari tanggal 26 januari 2024 nyampe 30 Januari 2024 masih aja jelek sinyal kurang setabil",30/01/2024 03:55,2
Hamonangan Sinaga,"harga lebih murah, kualitas sinyal mantap",22/01/2024 22:54,5
Indah 146,"benar""puas",12/01/2024 10:50,5
ADGamers,"Sering banget Udah tuker Impoin kouta ngak masuk, padahal ngak ada paket aktif",30/01/2024 04:46,1
BUM Chicken,bagus,18/01/2024 16:04,5
Riyan Rizki Febrian,Sinyal hilang tiba2 ??,26/01/2024 14:46,1
Nadinka Aja,sangatt baik ....sangatt memuaskan,20/01/2024 10:05,5
Pak Nur,ooke,14/01/2024 01:25,5
RANGGA Saputra,Halo devloper saya mengeluh atas bug yang terjadi di aplikasi anda. kenapa pulsa saya hilang padahal saya tidak menyalakan data. Kehilangan pulsa sering sekali terjadi dan itu cukup merugikan user lalu harga kuota 1 gb terlalu mahal yaitu 6000 seharusnya 5000 saja masa kalah sama kartu sebelah 1 gb 3000,15/01/2024 12:14,4
Christian Andreanto,mantap,29/01/2024 00:30,5
Dean Dri,Kenapa paket data internet sangat mahal semakin sering beli paket data semakin mahal mohon turunkan lah harganya sekian saya terima kasih,25/01/2024 05:58,1
Ohhh Nooo,baik sekali,20/01/2024 13:25,5
